15-09-2023 13:02:07.896 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 53528 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
15-09-2023 13:02:07.897 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
15-09-2023 13:02:07.911 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
15-09-2023 13:02:07.911 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
15-09-2023 13:02:08.150 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15-09-2023 13:02:08.181 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 28 ms. Found 10 JPA repository interfaces.
15-09-2023 13:02:08.390 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
15-09-2023 13:02:08.393 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
15-09-2023 13:02:08.394 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
15-09-2023 13:02:08.394 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.12]
15-09-2023 13:02:08.413 [restartedMain] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
