21-09-2023 02:25:31.403 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarting - Starting StudentforumApplication using Java 17.0.6 with PID 33189 (/Users/furkan/Desktop/repos/student-forum/backend/studentforum/target/classes started by furkan in /Users/furkan/Desktop/repos/student-forum/backend)
21-09-2023 02:25:31.408 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStartupProfileInfo - No active profile set, falling back to 1 default profile: "default"
21-09-2023 02:25:31.426 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
21-09-2023 02:25:31.426 [restartedMain] [student-forum, ] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor.logTo - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
21-09-2023 02:25:31.702 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
21-09-2023 02:25:31.732 [restartedMain] [student-forum, ] INFO  o.s.d.r.c.RepositoryConfigurationDelegate.registerRepositoriesIn - Finished Spring Data repository scanning in 28 ms. Found 10 JPA repository interfaces.
21-09-2023 02:25:31.995 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.initialize - Tomcat initialized with port(s): 8080 (http)
21-09-2023 02:25:31.999 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Initializing ProtocolHandler ["http-nio-8080"]
21-09-2023 02:25:32.000 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardService.log - Starting service [Tomcat]
21-09-2023 02:25:32.000 [restartedMain] [student-forum, ] INFO  o.a.catalina.core.StandardEngine.log - Starting Servlet engine: [Apache Tomcat/10.1.12]
21-09-2023 02:25:32.023 [restartedMain] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring embedded WebApplicationContext
21-09-2023 02:25:32.024 [restartedMain] [student-forum, ] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext.prepareWebApplicationContext - Root WebApplicationContext: initialization completed in 598 ms
21-09-2023 02:25:32.055 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Starting...
21-09-2023 02:25:32.215 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.pool.HikariPool.checkFailFast - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6bf0a6f3
21-09-2023 02:25:32.216 [restartedMain] [student-forum, ] INFO  com.zaxxer.hikari.HikariDataSource.getConnection - HikariPool-1 - Start completed.
21-09-2023 02:25:32.254 [restartedMain] [student-forum, ] INFO  o.h.jpa.internal.util.LogHelper.logPersistenceUnitInformation - HHH000204: Processing PersistenceUnitInfo [name: default]
21-09-2023 02:25:32.280 [restartedMain] [student-forum, ] INFO  org.hibernate.Version.logVersion - HHH000412: Hibernate ORM core version 6.2.7.Final
21-09-2023 02:25:32.281 [restartedMain] [student-forum, ] INFO  org.hibernate.cfg.Environment.<clinit> - HHH000406: Using bytecode reflection optimizer
21-09-2023 02:25:32.334 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
21-09-2023 02:25:32.383 [restartedMain] [student-forum, ] INFO  o.s.o.j.p.SpringPersistenceUnitInfo.addTransformer - No LoadTimeWeaver setup: ignoring JPA class transformer
21-09-2023 02:25:32.542 [restartedMain] [student-forum, ] INFO  o.h.b.i.BytecodeProviderInitiator.buildBytecodeProvider - HHH000021: Bytecode provider name : bytebuddy
21-09-2023 02:25:32.824 [restartedMain] [student-forum, ] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator.initiateService - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
21-09-2023 02:25:32.971 [restartedMain] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.buildNativeEntityManagerFactory - Initialized JPA EntityManagerFactory for persistence unit 'default'
21-09-2023 02:25:33.312 [restartedMain] [student-forum, ] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration.openEntityManagerInViewInterceptor - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
21-09-2023 02:25:33.438 [restartedMain] [student-forum, ] INFO  o.s.s.web.DefaultSecurityFilterChain.<init> - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@859cffc, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4762dfce, org.springframework.security.web.context.SecurityContextHolderFilter@34ff016a, org.springframework.security.web.header.HeaderWriterFilter@5658a81a, org.springframework.web.filter.CorsFilter@13b4ffcf, org.springframework.security.web.authentication.logout.LogoutFilter@2560f51f, com.omerfurkan.studentforum.security.JwtAuthenticationFilter@5d3220e1, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1b5a95cc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@61976be, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@534e2d9b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3250705d, org.springframework.security.web.session.SessionManagementFilter@cd1ed55, org.springframework.security.web.access.ExceptionTranslationFilter@6324b42, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@c1c8441]
21-09-2023 02:25:33.512 [restartedMain] [student-forum, ] INFO  o.s.b.d.a.OptionalLiveReloadServer.startServer - LiveReload server is running on port 35729
21-09-2023 02:25:33.522 [restartedMain] [student-forum, ] INFO  o.a.coyote.http11.Http11NioProtocol.log - Starting ProtocolHandler ["http-nio-8080"]
21-09-2023 02:25:33.531 [restartedMain] [student-forum, ] INFO  o.s.b.w.e.tomcat.TomcatWebServer.start - Tomcat started on port(s): 8080 (http) with context path ''
21-09-2023 02:25:33.536 [restartedMain] [student-forum, ] INFO  c.o.s.StudentforumApplication.logStarted - Started StudentforumApplication in 2.261 seconds (process running for 2.676)
21-09-2023 02:28:59.346 [http-nio-8080-exec-2] [student-forum, ] INFO  o.a.c.c.C.[Tomcat].[localhost].[/].log - Initializing Spring DispatcherServlet 'dispatcherServlet'
21-09-2023 02:28:59.347 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Initializing Servlet 'dispatcherServlet'
21-09-2023 02:28:59.350 [http-nio-8080-exec-2] [student-forum, ] INFO  o.s.web.servlet.DispatcherServlet.initServletBean - Completed initialization in 3 ms
21-09-2023 02:42:33.296 [SpringApplicationShutdownHook] [student-forum, ] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean.destroy - Closing JPA EntityManagerFactory for persistence unit 'default'
